_id,,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Acumulado,DY (6M)Acumulado,DY (12M)Acumulado,DY (3M)Média,DY (6M)Média,DY (12M)Média,Variação Preço,Rentab.Período,Rentab.Acumulada,Rentab. Patr,PatrimônioLíq.,VPA,P/VPA,VacânciaFísica,QuantidadeAtivos
63137055d2449664b675fdd0,0,FIVN11,Shoppings,"R$ 2,62",68087,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",[object Object],"R$ 65.531.708,68","R$ 6,96",38,"56,00%",1
63137055d2449664b675fdd1,1,BZLI11,Títulos e Val. Mob.,"R$ 14,70",44041,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,68%","0,68%","1,14%",[object Object],"R$ 439.856.409,07","R$ 10,80",136,,0
63137055d2449664b675fdd2,2,XTED11,Lajes Corporativas,"R$ 6,40",6936,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,10%","1,10%","-37,83%",[object Object],"R$ 27.172.278,20","R$ 13,83",46,"0,00%",1
63137055d2449664b675fdd3,3,ALMI11,Lajes Corporativas,"R$ 850,00",32,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","2,27%","2,27%","-28,29%",[object Object],"R$ 249.878.508,15","R$ 2.247,57",38,"64,05%",1
63137055d2449664b675fdd4,4,PABY11,Híbrido,"R$ 9,58",213,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","-19,84%","-19,84%","-31,62%",[object Object],"R$ -10.622.559,80","R$ -14,01",-68,,1
63137055d2449664b675fdd5,5,ORPD11,Títulos e Val. Mob.,"R$ 93,00",3,"R$ 1,38",,,,,,,,,,,[object Object],"R$ 43.445.940,90","R$ 149,81",62,,0
63137055d2449664b675fdd6,6,FISC11,Lajes Corporativas,"R$ 165,00",200,"R$ 0,22","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",[object Object],"R$ 195.700.769,40","R$ 115,12",143,,0
63137055d2449664b675fdd7,7,ATSA11,Shoppings,"R$ 84,84",116,"R$ 0,25","0,18%","0,59%","1,30%","2,97%","0,20%","0,22%","0,25%","0,74%","0,92%","1,10%",[object Object],"R$ 157.482.761,24","R$ 89,93",94,"21,90%",1
63137055d2449664b675fdd8,8,CXTL11,Logística,"R$ 351,00",18,"R$ 0,48","0,16%","0,67%","1,29%","0,00%","0,22%","0,22%","0,00%","-6,12%","-5,97%","-5,73%",[object Object],"R$ 37.634.810,74","R$ 702,18",50,"61,00%",3
63137055d2449664b675fdd9,9,HTMX11,Hotel,"R$ 110,01",2690,"R$ 0,00","0,00%","0,80%","2,20%","5,41%","0,27%","0,37%","0,45%","-28,14%","-28,14%","-32,26%",[object Object],"R$ 164.192.001,82","R$ 130,62",84,"65,00%",23
