;days;values;redimentos
0;2022-09-15;96.7;1.0
1;2022-07-14;99.35;1.69
2;2022-06-14;98.39;1.75
3;2022-05-13;96.65;1.6
4;2022-04-14;98.68;1.34
5;2022-03-15;97.5;1.1
6;2022-02-14;98.38;1.3843302
7;2022-01-14;101.58;1.77
8;2021-12-14;101.83;1.6
9;2021-11-16;100.9;1.4
10;2021-10-15;101.12;1.33
11;2021-09-15;101.4;1.12
12;2021-08-13;99.98;0.97
13;2021-07-15;101.48;1.06
14;2021-06-15;101.4;1.0
15;2021-05-14;101.3;1.02
16;2021-04-15;101.5;0.95
17;2021-03-12;103.01;0.9
