;days;values;redimentos
0;2022-08-18;9.25;0.12
1;2022-07-20;9.88;0.13
2;2022-06-21;10.45;0.12
3;2022-05-19;9.98;0.12
4;2022-04-22;10.35;0.11
5;2022-03-21;10.3;0.1
6;2022-02-18;10.65;0.09
7;2022-01-20;10.44;0.0315
