;days;values;redimentos
0;2022-09-20;9.21;0.11
1;2022-08-17;9.49;0.12
2;2022-07-19;9.29;0.12
3;2022-06-20;9.45;0.11
4;2022-05-18;9.66;0.11
5;2022-04-20;10.04;0.11
6;2022-03-18;10.01;0.11
7;2022-02-17;10.04;0.11
8;2022-01-19;9.9;0.12
9;2021-12-17;9.97;0.12
10;2021-11-19;10.01;0.1
11;2021-10-20;10.01;0.1
12;2021-09-20;10.0;0.1
13;2021-08-18;10.01;0.1
